uid;first name;last name;username;email;phone number;access allowed;hired since;;location
1;Hyman;Abramzon;habramzon0;habramzon0@360.cn;7114147726;FALSE;2006-11-23T04:07:56Z;;[49.2, 16.6]
2;Shelly;Bickell;sbickell1;sbickell1@unesco.org;2782199493;TRUE;;;[50.5, 14.3]
3;Gustave;Doe;gdoe2;;5501019871;FALSE;;;[49.8, 17.2]
4;Gaile;Baddiley;gbaddiley3;gbaddiley3@nydailynews.com;2797759177;TRUE;2010-04-03T15:33:49Z;;[49.0, 15.7]
5;Dosi;Golsby;dgolsby4;dgolsby4@tripadvisor.com;;TRUE;2019-02-05T23:33:30Z;;[50.2, 13.8]
6;Agnes;Puddephatt;apuddephatt5;;3029752604;FALSE;2010-06-06T06:36:28Z;;[51.0, 16.0]
7;Arleta;Rhead;arhead6;arhead6@w3.org;3753195076;FALSE;2013-01-08T12:53:27Z;;[48.7, 17.4]
8;Melamie;Plumridge;mplumridge7;mplumridge7@opensource.org;7821712960;FALSE;2010-03-08T03:55:18Z;;[49.9, 15.2]
9;Nollie;Puve;npuve8;npuve8@clickbank.net;5123877191;FALSE;2009-05-07T09:08:16Z;;[50.1, 14.7]
10;Mace;Faulder;mfaulder9;mfaulder9@columbia.edu;3956029963;TRUE;2008-08-30T04:37:12Z;;[49.3, 17.8]
11;Francklin;Havelin;fhavelina;fhavelina@flavors.me;7868400968;TRUE;2010-01-19T18:31:49Z;;[50.4, 16.5]
12;Kissiah;MacCarrick;kmaccarrickb;kmaccarrickb@deliciousdays.com;8664030911;TRUE;2008-10-04T14:00:24Z;;[48.9, 13.9]
13;Harlin;McMennum;hmcmennumc;hmcmennumc@china.com.cn;7802262215;FALSE;2020-10-21T18:23:30Z;;[51.1, 14.2]
14;Alyce;Clawson;aclawsond;aclawsond@hatena.ne.jp;2961709508;TRUE;2009-08-16T02:30:56Z;;[49.1, 18.5]
15;Latrena;Sigmund;lsigmunde;lsigmunde@thetimes.co.uk;;FALSE;2012-02-04T14:24:50Z;;[48.6, 14.8]
16;Maude;Goodwell;mgoodwellf;mgoodwellf@cdbaby.com;7288436786;TRUE;2008-05-19T08:48:54Z;;[49.6, 15.0]
17;Orson;McKevin;omckeving;omckeving@naver.com;4663295902;TRUE;;;[50.3, 17.0]
18;Yasmin;Antoniottii;yantoniottiih;yantoniottiih@indiegogo.com;1335388063;FALSE;2009-03-29T23:42:04Z;;[50.7, 14.9]
19;Richie;Klimek;rklimeki;rklimeki@amazonaws.com;9322314197;TRUE;2014-06-30T01:27:41Z;;[49.4, 16.9]
20;Emmie;Matsell;ematsellj;ematsellj@hugedomains.com;2411386844;FALSE;2011-10-14T18:29:02Z;;[50.8, 16.3]
21;Tabbi;Trengrouse;ttrengrousek;ttrengrousek@bandcamp.com;;FALSE;2010-01-16T01:49:08Z;;[49.7, 13.7]
22;Beilul;Hacquel;bhacquell;;;TRUE;2012-01-07T11:59:11Z;;[48.8, 15.4]
23;Kimmi;Bread;kbreadm;;7046411838;TRUE;;;[50.0, 14.4]
24;Saxon;Ramiro;sramiron;sramiron@shinystat.com;7141696735;FALSE;2019-05-01T20:51:28Z;;[49.5, 17.6]
25;Ervin;Bridgen;ebridgeno;ebridgeno@github.io;7535044082;FALSE;2006-11-23T07:57:12Z;;[51.0, 13.6]
26;Adrian;Eastment;aeastmentp;aeastmentp@census.gov;6198423741;FALSE;2017-03-15T06:01:44Z;;[48.7, 17.3]
27;Yehudit;Hamblett;yhamblettq;yhamblettq@blogger.com;6479948221;TRUE;2014-07-20T22:29:43Z;;[49.3, 18.0]
28;Sloan;Epelett;sepelettr;sepelettr@lulu.com;2447779488;;;;[50.2, 16.7]
